干貝鮮蝦元寶	太白粉,荸薺,干貝,雞高湯,香菇,水餃,青蔥,柴魚,大蒜,醬油,草蝦	香油,鹽,胡椒
蒜味黃瓜皮	大黃瓜,紅辣椒,蒜仁	香油,醋,鹽,糖
上海菜飯	青江菜,白米,香菇,薑,香腸,水,辣椒,大蒜,香菇	香油,鹽,胡椒,醬油
馬鈴薯燉紅蘿蔔	紅蘿蔔,馬鈴薯,水,青花椰菜	醬油,米酒,香油,味霖
紅蔥塔香中卷	薑,辣椒,魷魚,九層塔	醬油膏,糖,水,蔥
黑豆滷豆輪	薑,八角,橄欖油,黑豆,辣椒,豆輪	米酒,冰糖,鹽,醬油
蒜苗炒臘肉	湖南臘肉,蒜苗,蒜,薄鹽醬油,辣椒
瓜仔肉	素絞肉,薑,橄欖油,花瓜,水	米酒,鹽,胡椒,醬汁,醬油
滷豆乾	豆干,滷汁
芥菜燴干貝	高湯,芥菜,干貝,太白粉,蒜,薑	雞粉,米酒,鹽,香油,糖
瓜仔肉	豬五花肉,蒜,花瓜	雞粉,鹽,米酒
鹹魚雞丁豆腐煲	豆腐,鴻喜菇,紅蘿蔔,雞胸,太白粉,鹹魚,薑,花豆,蒜苗	高湯,蠔油,米酒,香油,糖,醬油
鹹魚雞粒飯	水,白米,雞腿,水,蔥,花飛鹹魚	鹽,胡椒
栗香飯	黑芝麻,栗子,水,尖糯米	鹽,水
西湖翡翠羹	雞骨高湯,嫩豆腐,蛋,吻仔魚,大蒜,火腿,菠菜	太白粉,烏醋,香油,香菇,鹽,胡椒
蔥煎鱈魚排	玉米粉,鱈魚,黃椒,洋蔥	水,鹽,胡椒,蔥
紅燒牛肉	紅蘿蔔,月桂葉,白蘿蔔,薑,牛腩	米酒,醬油,鹽,水,糖
魚翅羹	魚皮,蝦米,高湯,大白菜,魚翅,太白粉,魚,豬肉,花菇,扁魚	雞粉,醬油,鹽,糖	米酒,醬油,糖
茭白肉丁	茭白筍,瘦肉,辣梅醬,小黃瓜
紅燒滷腿庫	薑,醬油膏,冰糖,五香粉,青蔥,香油,八角,腿庫,水,甘醇醬油
辣油拌豬耳朵	豬耳朵,辣椒,蒜,蒜苗	細砂糖,烏醋,油,胡椒,鹽,白醋
髮菜羹	太白粉,高湯,筍,蟹肉,香菇,木耳,香菜,豬肉,紅蘿蔔,金針菇,大白菜	烏醋,胡椒,鹽,香油,雞粉,糖,醬油	米酒,醬油,糖
四季松子飯	白米,松子,四季豆,橄欖油,水,辣椒,蒜	鹽
紅燒魚	魚,薑,蔥,紅辣椒,蒜	米酒,醬油膏,鹽,醬油,糖
木須炒餅煲	辣椒,竹筍,韭黃,洋蔥,紅蘿蔔,白菜,油,黑木耳,里肌肉,雞蛋	香油,蠔油,鹽,胡椒,糖
薑絲炒大腸	薑,辣椒,豬大腸,大蒜	黃豆,白砂糖,香油,醋,鹽,胡椒
彩椒魚片 	紅椒,薑,蔥,魚,黃椒	太白粉,高湯,蔥,太白粉,米酒,鹽,蛋白
蒜苗魚翅頭	蒜苗,大蒜,辣椒,魚翅	黃豆,太白粉,雞粉,水,鹽,胡椒
蕃茄魚片	青蔥,大蒜,鯛魚,麵粉,大蕃茄	蕃茄醬,白砂糖,香油,水,鹽,胡椒
綠花椰菜心雞湯	雞肉,水,薑,菜心	米酒,鹽,胡椒,雞粉
香煎素鵝	腐皮,豆芽,橄欖油,香菇,麵糊	鹽,胡椒,香菇,糖
芹菜炒金針菇	青蔥,大蒜,芹菜,金針,辣椒	香油,雞粉,辣豆瓣醬,胡椒
紅燒素丸子	荸薺,板豆腐,太白粉,青江菜,薑,太白粉,山藥,水,辣椒	醬油膏,鹽,糖,香油,香菇,胡椒,醬油,醬油
滷翅小腿	蒜味滷汁,翅小腿
客家腐乳肉醬	薑,香菇,梅花肉,青蔥,辣椒,大蒜	米酒,香油,雞粉,水,豆腐,糖,醬油
三杯魚塊	薑,草魚,紅辣椒,九層塔,蒜仁	米酒,麻油,水
滷杏鮑菇	薑,滷汁,大蒜,杏鮑菇,洋蔥
海鮮魚翅羹	海鮮高湯,雞骨高湯,嫩豆腐,大白菜,魚翅,黑木耳,大蒜	太白粉,香油,雞粉,糖,鹽,胡椒,醬油
排骨酥	蛋黃,蒜,排骨,胡椒鹽,地瓜	五香粉,米酒,糖,胡椒,鹽,醬油
什錦髮菜羹	黑木耳,竹筍,秀珍菇,紅蘿蔔,火腿,花菇,太白粉,山藥,水,金針,髮菜,豆薯	烏醋,香油,糖,香菇,鹽,胡椒,醬油
蒜苗炒雪螺	蒜苗,大蒜,雪螺,辣椒	香油,黃豆,鹽,胡椒
蠔油醬	糖,蠔油,水,香菜,薑,蔥,胡椒
麻油肉絲炒茴香	黑麻油,薑,茴香,米酒,水,沙拉油	雞粉,鹽
草蝦鮮菇冬粉煲	蝦米,鴻喜菇,芹菜,香菇,冬粉,毛豆,薑,蔥,蒜,草蝦	蠔油,米酒,香油,水,糖,魚露
蔥香滷百味	海帶,豬皮,豆干,白蘿蔔,薑,青蔥,雞翅	香油,水,糖,醬油,蔥
蒜泥蚵仔	地瓜,蚵仔,九層塔,香油,蒜,水,糖,醬油
辣醬滷牛筋	肉桂,草果,八角,薑,牛筋,蒜	米酒,細砂糖,沙拉油,水,辣椒
菩提滷汁	薑,細砂糖,大蕃茄,雞粉,蠔油,香油,八角,水
蔥燒醬	青蔥,大蒜,豬,洋蔥	醬油膏,蕃茄醬,太白粉,香油,水,糖,鹽,胡椒
紅蔥魚香茄子	青蔥,大蒜,豬,茄子,辣椒	太白粉,蔥,香油,水,糖,鹽,胡椒
川味麻辣醬	辣椒,牛肉,大蒜,青蔥	五香粉,米酒,花椒,香油,油,鹽,胡椒,醬油
白玉南瓜鑲福袋  	蒜苗,豬,香菇,紅辣椒,玉米筍,大蒜,高麗菜,南瓜	鹽,水,雞粉,太白粉,香油,胡椒,雞高湯,水
南瓜煮	薑,南瓜,橄欖油,水	鹽,胡椒,糖
滷豆皮	豆皮,滷汁
糖醋魚片	紅椒,鯛魚,洋蔥,地瓜,太白粉,青椒	太白粉,蕃茄醬,蛋液,細砂糖,水,鹽,白醋	蔥,米酒,鹽,薑
蒜苗滷大腸	香油,細砂糖,薑,蒜苗,豬大腸,米酒,醬油膏,青蔥,大蒜,八角
銀杏百合蝦球	蝦子,銀杏,蒜,薑	米酒,鹽,高湯,雞粉
韭菜干絲	韭菜,大蒜,干絲,辣椒	香油,鹽,胡椒
不沾鍋的荷包蛋	蛋
絲瓜炒蛤蜊	薑,絲瓜,大蒜,蛤蠣	香油,雞粉,鹽
雪裡紅肉醬	薑,辣椒,雪裡紅,大蒜,豬	黃豆,香油,糖,鹽,胡椒,白醋,醬油
辣味雞胗	水,蒜,紅辣椒,雞胗	糖,鹽,辣椒,醬油
鍋巴明蝦煲	竹筍,薑,紅蘿蔔,白蘿蔔,太白粉,木耳,鍋巴,蔥,明蝦	蕃茄醬,米酒,香油,水,糖,鹽,胡椒
酸菜炒五花肉	蒜,五花肉,酸菜,辣椒	細砂糖,烏醋,米酒,胡椒,鹽,醬油
滷黃金玉米	玉米,菩提滷汁,青蔥
桂花蝦	薑,蝦子,蔘鬚,枸杞,桂花,蔥,陳皮	酒,米酒,鹽
紅蔥嫩煎鮮干貝	綠花椰菜,麵粉,黃椒,干貝,奶油	白酒,蔥
蔥味滷牛腱	薑,青蔥,牛腱	冰糖,陳皮,甘醇醬油,水
涼拌黃瓜	辣椒,醋,白糖,鹽,小黃瓜
基礎魚漿	九棍魚淨肉,中薑,蔥,水,鰻魚	香油,胡椒,太白粉,鹽,細砂糖
滷雞腳	滷汁,雞腳
栗子燒雞	栗子,雞腿,水,香菇,辣椒	香油,米酒,蠔油,冰糖,醬油
涼拌海哲皮	佛手瓜,蒜,辣椒	香油,細砂糖,鹽,白醋
紅蔥滷肉燥	紅蔥頭,豬,豆干,青蔥,辣椒,大蒜	香油,油,醬油膏,水,蔥
五柳魚	筍,太白粉,木耳,黃魚,麵粉,水,蔥,紅蘿蔔,洋蔥	番茄醬,白糖,烏醋,糖,鹽,醬油	蔥,米酒,鹽,薑
滷豬舌	豬舌,滷汁
何首烏雞湯	米酒,黃耆,雞肉,枸杞,水,何首烏,紅棗,當歸	鹽
黃豆薏仁燉豬腳	米酒,黃豆,薏仁,水,薑,豬腳	鹽,冰糖
雞骨高湯	洋蔥,薑,青蔥,芹菜,雞骨,大蒜	米酒,水,鹽,胡椒,雞粉
肉末炒箭筍	箭筍,辣椒,大蒜,豬	太白粉,辣豆瓣醬,香油,雞粉,鹽,胡椒
臘味蘿蔔糕	臘肉,澄粉,肝腸,白蘿蔔,水,米粉,紅蔥酥	雞粉,鹽,醬油
客家炒粄條	韭菜,粄條,豆芽,香菇,蝦米	醬油,蔥
香蒜肉醬	蒜苗,大蒜,三層肉,辣椒	香油,醬油,鹽,胡椒,蒜
蔥尾炒雞柳	蔥,雞胸,紅辣椒,蒜仁	米酒,醬油,鹽,糖	米酒,太白粉,醬油
生蚵豆腐羹	蝦米,嫩豆腐,小白菜,蛋,蔬菜,豬,大蒜,鮮蚵	黃豆,太白粉,米酒,太白粉,香油,鹽,胡椒
滷糖心蛋	雞蛋	肉桂,細砂糖,八角,水,鹽,醬油
核桃炒蝦仁	蒜,核桃,紅蘿蔔,蝦子,薑,甜豆	米酒,鹽,胡椒,雞粉	蔥,米酒,薑
豆乾炒海帶絲	海帶,青蔥,大蒜,豆干	香油,白砂糖,胡椒,蠔油
肉燥炒山蘇	辣椒,大蒜,豬,山蘇	水,鹽,胡椒,蔥
臘肉煲飯	臘肉,白米,青蔥,芹菜,辣椒,大蒜,水	鹽,米酒,香油,砂糖,胡椒,醬油膏
南瓜蔥燉牛肋	牛肋,洋蔥,南瓜,蒜	鹽,糖,水,鮮奶油,蔥
辣拌干絲	油,芹菜,白干絲
冬筍蹄筋湯	花菇,竹筍,蹄筋,火腿	米酒,鹽,雞粉
豆瓣鯉魚	蔥,薑,鯉魚,豬,蒜	太白粉,辣豆瓣醬,酒釀,水,醬油
肉燥培根馬鈴薯	培根,辣椒,大蒜,馬鈴薯,青蔥	水,鹽,胡椒,蔥
紅豆桂圓紫米粥	紫米,圓糯米,紅豆,水,桂圓	米酒,細砂糖
金瓜焉篤煲	清高湯,里肌肉,南瓜,蛤蠣,青蔥	香油,鹽,胡椒
乾拌麻醬	辣椒,大蒜,豬,香菜,豆干	米酒,芝麻,香油,鹽,胡椒,醬油
清蒸臭豆腐	筍,紅蘿蔔,香菇,臭豆腐,青豆,薑	辣豆瓣醬,鹽,胡椒,香菇,糖
雞肉凍	香菇,洋菜,水,土雞,雞皮,蔥,紅蘿蔔	米酒,鹽,冰糖,胡椒
花蟹米粉煲	蝦米,洋蔥,紅蘿蔔,香菇,米粉,小花蟹,蔥,芹菜	蠔油,米酒,水,豆腐,糖,茶
糖醋肉醬	薑,大蒜,竹筍,豬五花肉	蕃茄醬,米酒,水,糖,醬油膏,白醋
四季小卷煲	洋蔥,紅蘿蔔,四季豆,花豆,小卷,辣椒,大蒜,香菇	香油,水,糖,鹽,胡椒,醬油
冰鎮雞腳	月桂葉,雞腳,八角,紅辣椒,蔥,大蒜,水	米酒,醬油膏,胡椒,醬油,五香粉
紅蘿蔔豆輪	豆輪,薑,紅蘿蔔	醬油膏,鹽,水,糖,醬油
客家筍肉醬	辣椒,大蒜,豬,竹筍,福菜	醬油膏,太白粉,油,糖,鹽,胡椒
麻油雞	雞肉,黑麻油,薑	雞粉,米酒
醬爆蝦	紅辣椒,洋蔥,白蝦,蔥,蒜,蔥	米酒,辣豆瓣醬,醬油,糖
滷牛肚韭黃	薑,冰糖,韭黃,滷汁,米酒,香油,陳皮,牛肚,大蒜,甘醇醬油,水
黑椒牛肉	牛肉,洋蔥	黑胡椒,水,牛排醬,糖,鹽,醬油	水,酒,醬油,太白粉,糖
香椿燒蒟蒻捲	青江菜,蒟蒻,竹筍,香菇,紅蘿蔔	水,鹽,胡椒,牛
海帶鮮蝦豆腐煲	豆腐,蛤蠣,綠花椰菜,海帶,薑,草蝦	米酒,水,魚露,糖
和風藕燒雞翅 	紅蘿蔔,蓮藕,雞翅,香菇	糖,水,醬油,蔥
紅蔥烤牛小排	綠花椰菜,牛小排,黃椒	黑胡椒,米酒,蔥,蒜,糖,醬油膏
蔥香蔭豉蚵	豆腐,蒜,辣椒,豆豉,薑,蔥,鮮蚵	米酒,太白粉,醬油膏,蔥
海鮮肉醬	魚,青蔥,紅蘿蔔,蝦子,香菜,辣椒,大蒜	魚露,米酒,太白粉,香油,鹽,胡椒
香蔥蒜片牛肉粒	蒜,牛肉,紅椒	米酒,水,蔥
上海水煮魚	大白菜,清高湯,薑,青蔥,香菜,鯛魚,辣椒,大蒜,小黃瓜	米酒,油,花椒,鹽,胡椒
花枝羹	蔥,木耳,紅蘿蔔,沙拉筍,花枝,薑,紅辣椒,蒜	烏醋,蠔油,香油,雞粉,胡椒,鹽
仙草燉雞湯	薑,雞骨高湯,棒棒腿	米酒,枸杞,鹽,糖
蟹肉冬瓜羹	雞骨高湯,薑,青蔥,蟹,大蒜	香油,米酒,干貝,雞粉,鹽,胡椒
辣蹄筋	紅辣椒,蹄筋,水,薑,薑,蒜	雞粉,醬油,鹽,辣椒,糖
糖醋汁	烏醋,洋蔥,蕃茄醬,紅辣椒,蒜仁,糖,鹽,白醋,水
鹹冬瓜肉蒸魚醬	五花肉,薑,青蔥,辣椒,大蒜	黃豆,米酒,香油,水,糖,柴魚,醬油
筍香炸醬	竹筍,紅蘿蔔,豬五花肉,香菇,辣椒,大蒜	鹽,胡椒,水
滷豬耳朵	豬耳朵,滷汁
醬燒肥腸	辣椒,薑,蔥,蒜,肥腸	米酒,糖,高湯,蔥
梅干扣肉	梅干菜,五花肉,紅辣椒,薑,蒜,蔥	醬油,米酒,醬油,糖
布袋羊肉	桂皮,羊肉,薑,黃耆,麵粉,枸杞,陳皮,薑,當歸,豬肚,紅棗,豬肚,花生油	鹽
絲瓜蒸金針菇	絲瓜,薑,火腿,金針	香油,香菇,鹽,胡椒
玉米梗丸子湯	玉米,水,貢丸,香菜,芹菜	香油,雞粉,鹽,胡椒
酸菜白肉鍋	白菜,五花肉,嫩豆腐,青蔥	雞粉,細砂糖,鹽,清湯
XO醬炒麵	蔥,洋蔥,叉燒,豆芽,廣式油麵,韭黃,紅蘿蔔	薄鹽醬油
台式辣泡菜	高麗菜,紅辣椒,青辣椒	細砂糖,鹽,白醋
素肉羹	香菇,黑木耳,竹筍,豆薯,大白菜,太白粉,水,薑,紅蘿蔔	烏醋,香菇,香油,糖,鹽,胡椒	醬油,鹽,胡椒,地瓜,水
XO醬炒三鮮	蝦子,蘆筍,蒜,透抽,辣椒,蔥,魷魚	米酒,鹽,蠔油
香蔥鹹蛋米糕	鹹蛋,長糯米	醬油,蔥
牛蒡皮枸杞排骨湯	薑,枸杞,排骨,牛蒡,水	米酒,鹽,雞粉
芹菜雞片	辣椒,雞胸,芹菜,大蒜	鹽,醬油	香油,太白粉,鹽,胡椒,蛋白
薑炒酸菜麵腸	辣椒,薑,橄欖油,麵腸,酸菜	米酒,醬油,烏醋,鹽,糖
蓮子排骨飯	薑,大蒜,排骨,水,白米	胡椒,鹽,米酒,醬油膏,雞粉
糖醋天婦羅	小黃瓜,香菇,洋蔥,甜不辣	蕃茄醬,太白粉,水,白醋,糖
蘆筍炒牛柳	薑,辣椒,牛肉,蘆筍	香油,黑胡椒,鹽	香油,太白粉,水,蛋白,醬油
四神湯	薑,小腸,四神料	香油,雞骨高湯,鹽,米酒
酸辣脆皮蛋 	蛋,青椒,洋蔥,太白粉,水,辣椒,蒜	細砂糖,魚露,辣椒,白醋
滷米血	米血,滷汁
蔥香起司豬排卷	麵包粉,起士,豬里肌,雞蛋,麵粉,蔬菜	水,蒜,蔥
紹興醉蝦	當歸,川芎,枸杞,水,蝦子	酒,雞粉,鹽
梅子醬	香油,薑,糖
蔥油絲瓜	薑,絲瓜	太白粉,高湯,蔥
花生雞丁	辣椒,雞胸,花生,大蒜,青蔥	香油,雞粉,花椒,鹽,胡椒
蒜苗滷大腸	蒜苗,八角,豬大腸,薑,青蔥,大蒜	香油,米酒,細砂糖,醬油膏
三杯透抽	薑,透抽,紅辣椒,九層塔	米酒,麻油,水
筍絲滷爌肉	冰糖,福菜,青蔥,八角,桂竹筍,水,薑,三層肉,丁香,甘醇醬油
梅子醃大頭菜	梅子,辣椒,大頭菜	細砂糖,鹽,梅子
Xo花枝醬	花枝,薑,青蔥,芹菜,辣椒,大蒜	米酒,香油,鹽,胡椒,醬油
滷花椰菜	花椰菜,滷汁
蘆筍銀杏	辣椒,大蒜,蘆筍,銀杏	香油,鹽,胡椒
羊肉爐	羊骨高湯,白菜,金針,白蘿蔔,老薑,油豆腐,羊肉,茼蒿,米酒,水	冰糖,豆腐,麻油,海山醬,糖,鹽,醬油
香菜梗炒干絲	辣椒,香菜,蒜,豆乾	米酒,醬油,胡椒,鹽,糖	米酒,太白粉,醬油
味噌鮮魚醬	辣椒,大蒜,芹菜,香菜,鯛魚	黃豆,米酒,味噌,香油,糖,鹽,胡椒
香蔥燒肉丸 	太白粉,洋蔥,青椒,薑,黃椒	蔥,葡萄,蔥,高湯,醬油
辣拌茄子	辣椒,薑,茄子,蒜,蔥	醬油膏,烏醋,辣椒,細砂糖
台味燜苦瓜	辣椒,苦瓜,香菇,丁香魚	高湯,蔥
珍菇豬肉鍋	豬大骨,洋蔥,紅蘿蔔,茼蒿,蛋,豬肉,金針,白蘿蔔,青蔥,香菇	鹽,胡椒,水
滷肉醬	薑,紅蔥頭,大蒜,梅花肉	五香粉,八角,米酒,香油,雞粉,糖,丁香,醬油膏,醬油
菩提蔬食羹	竹筍,紅蘿蔔,香菜,蒟蒻,蔬菜高湯,火腿	太白粉,香油,鹽,胡椒,白芝麻
菠菜炒豬肝	薑,黑麻油,豬肝,菠菜	米酒,鹽,雞粉
滷白菜	豬皮,蝦米,大白菜,香菇,蒜仁,蔥	米酒,鹽,胡椒,水,糖
紹興醉蝦	枸杞,當歸,紅棗,川芎,草蝦	蔥,米酒,薑,水,糖,酒,鹽
竹笙鳳腿湯	薑,竹筍,雞骨高湯,翅小腿,香菇,竹笙	香油,香菇,鹽,胡椒,米酒
薑母鴨	老薑,鴨肉,黑麻油	米酒,水
鮮菇雜菜飯	青江菜,白米,紅蘿蔔,雞胸,芹菜,大蒜	鹽,胡椒
紅蔥香炒米苔目	豬,米苔目,豆芽,青蔥,芹菜,辣椒,大蒜	水,鹽,胡椒,蔥
時蔬炊飯	綠竹筍,白米,紅蘿蔔,金針,牛蒡,水,木耳,甜豆,香菇	鹽
鮮蔬乾拌麵	高麗菜,豆芽,青蔥,辣椒,大蒜,油麵	鹽,胡椒,茶,水
芋泥蒸大黃瓜	紅蘿蔔,沙拉筍,香菇,芋頭,香菜,芹菜,大黃瓜	醬油,鹽,胡椒,香菇,糖
酸菜白肉鍋沾醬	香油,海山醬,醬油,豆腐,糖
莧菜銀魚羹	海鮮高湯,黑木耳,莧菜,薑,銀魚,辣椒,大蒜	香油,太白粉,柴魚,鹽,胡椒
黃瓜炒香腸 	香腸,小黃瓜,大蒜,辣椒	香油,鹽,胡椒
蒜香龍珠	地瓜,辣椒,大蒜,龍珠,青蔥	香油,鹽,胡椒	米酒,鹽,胡椒
蔥味滷牛腱	牛腱,冰糖,滷汁,薑,青蔥,陳皮,甘醇醬油,水
福菜滷百頁豆腐	百頁豆腐,福菜,五花肉,蒜	米酒,醬油,水,糖
五香滷汁	細砂糖,五香粉,滷汁,香油,八角,水,辣椒,大蒜,甘醇醬油
鮮蝦擔仔麵	韭菜,油麵,豆芽,蝦子	水,高湯,蔥
薏仁豬腳湯	雞骨高湯,薏仁,薑,山藥,豬腳,蓮子	香油,米酒,鹽
鮮香牛肉煲	蔥,薑,芹菜,辣椒,牛肉,香菇	太白粉,太白粉,高湯,蔥,香油,水,沙拉油,蛋白,醬油
香菇梗肉丸子	香菇,洋蔥,蒜,蛋液	太白粉,香油,蛋液,糖,胡椒,鹽,醬油
香椿煎豆腐	板豆腐,梅花肉,青蔥,辣椒,大蒜,三色豆	麻油,低筋麵粉,鹽,牛,黑胡椒
黃瓜拌魷魚	紅蘿蔔,蒜,魷魚,小黃瓜,辣椒	香油,油,細砂糖,鹽,白醋
蒜苗炒毛肚	蒜苗,熟毛肚,辣椒,大蒜	香油,鹽,胡椒
鰹魚露蒸鱸魚	鱸魚,薑,青蔥	香油,米酒,細砂糖,鰹魚,水
花雕雞	紅蔥頭,大蒜,青椒,鴻喜菇,二節翅,老薑,土雞,香菜,雞心,芹菜	酒,蠔油,雞粉,水,糖,鹽
桂圓米糕	米酒,圓糯米,水,花生油,桂圓	黑糖,二砂糖
竹筍雞肉飯	雞腿,白米,水,辣椒,大蒜,芹菜	香油,砂糖,醬油膏
滷豬腳	辣椒,可樂,八角,豬腳,薑,蒜仁,蔥	胡椒,鹽,水,醬油
薑絲炒川七	黑麻油,薑,川七	米酒,鹽,雞粉
蕃茄咕咾肉	大蒜,辣椒,後腿肉,大蕃茄,洋蔥	蕃茄醬,白砂糖,鹽,胡椒,白醋	蛋液,太白粉,鹽,胡椒
豬肉醬蒸飯	豬肉,白米,筊白筍,水,辣椒,大蒜	香油,鹽,砂糖,胡椒
酸辣湯	豆腐,筍,黑木耳,高湯,豬血,蛋液,太白粉,紅蘿蔔,豬肉,蔥	細砂糖,烏醋,胡椒,香油,雞粉,白醋,鹽,辣椒	米酒,太白粉,醬油
冰滷小棒腿	小棒腿,滷汁,胡椒,蠔油,米酒,八角,水,薑,冰糖,鹽,醬油
黃瓜鑲肉	太白粉,大黃瓜,鳳梨,蔥,蒜	醬油,太白粉,米酒,雞粉,糖,鹽,醬油
素燉鰻魚	當歸,米酒,鰻魚,枸杞,水,紅棗,川芎	鹽,香菇
髮菜羹湯	竹筍,里肌肉,海鮮濃湯用高湯,髮菜,香菇	雞粉,太白粉,醋,柴魚,鹽,胡椒	香油,鹽,胡椒,大蒜,醬油
滷白蘿蔔	薑,青蔥,滷汁,洋蔥,白蘿蔔
九層塔煎蛋	黑麻油,雞蛋,九層塔	米酒,太白粉,鹽
塔香海瓜子煲	大白菜,九層塔,海瓜子,辣椒,蔥,大蒜	米酒,醬油膏,糖
人蔘燉雞湯	蔘鬚,薑,清湯,紅棗,棒棒腿	香油,米酒,鹽,雞粉
白果燴海鮮	高湯,蒜,白果,花枝,紅蘿蔔,太白粉,蝦子,魚,薑,青花椰菜,蔥,魷魚	細砂糖,烏醋,蠔油,雞粉,鹽,香油
辣味雞胗	蔥,薑,蒜,蔥,雞胗	香油,細砂糖,白醋,辣椒
蒜香豬肉飯	大蒜,豬,水,白米	味霖,醬油,米酒
五香焢肉	薑,八角,五花肉,水,大蒜,青蔥	米酒,醬油,冰糖,胡椒,五香粉
豆豉肉醬	青蔥,大蒜,豬,辣椒	花椒,香油,雞粉,糖,豆豉,辣椒,鹽,胡椒
砂鍋魚頭	蝦,蹄筋,大白菜,青蒜,金針菇,鵪鶉蛋,香菇,薑,魚,紅辣椒,紅蔥酥,扁魚,豆皮,鰱魚	烏醋,米酒,麻油,雞高湯,糖,茶,鹽,胡椒,醬油
蛤蜊煲嫩雞	蛤蠣,紅蘿蔔,雞胸,芥菜,薑,蔥	雞粉,米酒,鹽,高湯,糖
炸醬肉絲炒粄條	梅花肉,青蔥,粄條,芹菜,紅蘿蔔	鹽,胡椒,茶,水
滷筊白筍	滷汁,紅蘿蔔,筊白筍
香菇滷雞肉	蔥,香菇,雞肉,水	米酒,冰糖,鹽,醬油
鳳梨蝦球	鳳梨,巴西利,沙拉醬,檸檬,草蝦,糖	太白粉,鹽,蛋白
紅燒蹄筋	筍,蹄筋,木耳,紅蘿蔔,薑,蔥	蠔油,米酒,水,糖,鹽,醬油
酸辣蒸豆腐	辣椒,蒜,洋蔥,蔥,板豆腐
香酥酸辣魚	魚,黃甜椒,紅甜椒,蒜	甜辣醬,水,檸檬	蔥,米酒,鹽,薑
滷海帶	海帶,滷汁
蕃茄蛋肉醬	豬,大蕃茄,洋蔥,蛋,香菜,大蒜	香油,太白粉,黑胡椒,蕃茄醬,鹽
芥藍炒香腸	香腸,芥藍菜,蒜仁	米酒,鹽,雞粉
鯛魚羊肉煲	羊肉,鯛魚,玉米筍,辣椒,薑,蔥,馬鈴薯	米酒,香油,水,糖,鹽,醬油
芹菜炒魷魚	薑,蒜仁,魷魚,紅辣椒,芹菜	雞粉,米酒,鹽,胡椒,糖
珍珠丸子	太白粉,豬,蔥,孛薺,蝦子,圓糯米,薑,蒜	米酒,醬油,胡椒,鹽,糖
芋頭燒雞	芋頭,大蒜,雞腿	香油,雞粉,白砂糖,醬油膏,雞高湯
什錦蔬食圍爐鍋	筊白筍,高麗菜,鴻禧菇,青江菜,大蕃茄,玉米,紅蘿蔔,蟳味棒,白蘿蔔,大陸妹	鹽,米酒,香油,雞粉,胡椒,水
鮮魚粄條煲	豆腐,竹筍,洋蔥,魚,粄條,毛豆,薑,蔥,大蒜,中芹,辣椒	米酒,水,胡椒,魚露,糖
滷蔥味層肉	薑,醬油膏,洋蔥,八角,蒜,香油,青蔥,細砂糖,水,三層肉,甘醇醬油
滷毛豆	毛豆,五香滷汁
滷四季豆	薑,四季豆,五香滷汁
竹筍香菇蒟蒻	竹筍,蒟蒻,香菇,薑,水	米酒,冰糖,鹽
香濃美味的玉米濃湯	洋蔥,玉米,鮮奶油,麵粉,玉米醬,奶油
麻油炒紅鳳菜	薑,黑麻油,紅鳳菜	米酒,鹽,雞粉
花生皮蛋	蠔油,辣椒,蛋,花生,蔥
古早肉醬	紅蔥頭,辣椒,大蒜,豬頸肉	米酒,香油,雞粉,油,水,糖,鹽,胡椒,醬油
三杯雞	薑,紅辣椒,九層塔,土雞	米酒,麻油,水
紅糟筊白筍	薑,豆皮,紅糟醬,橄欖油,筊白筍	米酒,水,糖
