干貝鮮蝦元寶	太白粉,荸薺,干貝,雞高湯,香菇,水餃,青蔥,柴魚,大蒜,醬油,草蝦	香油,鹽,胡椒
五穀雜糧枸杞飯	玉米,五穀米,枸杞,水,紅蘿蔔	鹽,黃豆,黑胡椒,香油,砂糖,醬油膏
紅麴高麗菜	蒜,高麗菜,薑,紅糟醬	雞粉,米酒
冰鎮滷汁	冰糖,洋蔥,青蔥,甘甜醬油,花椒,薑,小茴香,水,丁香,黑胡椒,老抽,八角
滷甜不辣	甜不辣,滷汁
電鍋發糕Diy	泡打粉,細砂糖,水,低筋麵粉
紅糟羊肉	黑麻油,羊肉,水,薑,菠菜,紅糟醬	米酒,細砂糖
黑豆滷五花肉	五花肉,八角,水,薑,黑豆,大蒜	米酒,冰糖,鹽,醬油
蘿蔔燉草菇	白果,白蘿蔔,薑,橄欖油,水,蓮子,草菇	米酒,鹽,冰糖,胡椒,鮮美露
茴香頭燉魚湯	薑,茴香,草魚,水	米酒,胡椒,鹽,雞粉
醃花椰菜心	花椰菜,紅辣椒,蒜	鹽,糖
香滷棒棒腿	薑,青蔥,紅辣椒,洋蔥,棒棒腿	冰糖,五香粉,甘草,甘甜醬油,香油,八角,水,丁香
咖哩肉醬	青蔥,大蒜,雞胸,洋蔥	黑胡椒,五香粉,咖哩,香油,水,奶油,鹽
避風塘蟹肉醬	薑,青蔥,大蒜,蟹,辣椒	辣椒,鹽,胡椒,辣椒,魚露
養生金瓜煲	黑棗,鴻喜菇,山藥,花豆,當歸,枸杞,南瓜	鹽,高湯,糖
麻辣滷汁	辣豆瓣醬,香醇醬油,洋蔥,青蔥,水,花椒,薑,沙薑,油,陳皮,丁香,辣椒,大蒜,八角,草果
滷花椰菜	青蔥,大蒜,花椰菜,紅蘿蔔,八角	薄鹽醬油,雞粉,細砂糖,水,奶油
燴什錦	香菇,筍,高湯,蔥,透抽,蹄筋,蝦子,魚,魚,魷魚,豌豆夾,瘦肉	太白粉,烏醋,鹽,太白粉,米酒,香油,雞粉,糖,胡椒
五味豬皮	蔥,豬皮,紅辣椒,花椒,薑,蔥,薑,蒜	烏醋,蕃茄醬,香油,糖,醬油膏,醬油
雪蛤排骨燉香梨	清高湯,香菇,薑,水梨,排骨	鹽,冰糖
咖啡布丁	蛋黃,鮮奶油,細砂糖,果凍粉,咖啡,水,咖啡酒
苦瓜炒牛肉片	山苦瓜,牛肉,鹹蛋,大蒜	鹽,水,糖
紅糟魚片	薑,鯛魚,地瓜,蒜苗	米酒,細砂糖,水,紅糟醬	薑,米酒,細砂糖,蛋液,紅糟醬
紅棗杜仲子排	子排,川芎,杜仲,黑棗,米酒,黃耆,枸杞,水,紅棗,當歸	鹽
黃耆糖醋排骨	青椒,地瓜,太白粉,洋蔥,紅甜椒,水,排骨	香油,白醋,細砂糖,鹽,蕃茄醬	細砂糖,黃耆,米酒,枸杞,紅棗,鹽,醬油
香芋排骨燉飯	高湯,白米,洋蔥,蒜苗,芋頭,排骨	鹽
三杯醬	辣豆瓣醬,糖,米酒,水,薑,甘草,沙拉油,胡椒,醬油
古早味滷白菜	蔥,紅蘿蔔,香菇,薑,大白菜	高湯,蔥
香椿滑蛋大陸妹	豬,薑,蛋,辣椒,大蒜,大陸妹	太白粉,水,糖,鹽,胡椒,牛
甜年糕	糯米粉,黑糖,水,二砂糖
香椿炒鮮菇	大蒜,青蔥,紅蘿蔔,香菇,辣椒	牛,鹽,胡椒,糖
蘿蔔排骨酥羹	黑木耳,清高湯,地瓜,白蘿蔔,香菜,排骨	太白粉,茶,醋,鹽,胡椒	太白粉,胡椒,醬油,五香粉
蟹黃豆腐	蛋黃,太白粉,嫩豆腐,高湯,紅蘿蔔,蒜,珍珠菇,青豆,蝦子,蔥	雞粉,鹽,糖
沙拉苦瓜	沙拉醬,綠苦瓜,水
酸豆肉醬	酸豇豆,辣椒,大蒜,豬	香油,糖,鹽,胡椒
蒜子燒黃魚	蔥,紅辣椒,黃魚,水,蒜仁	米酒,蠔油,醬油,糖
三色蛋	蛋,雞蛋,鴨
沙茶炒米血糕	米血糕,香菜,花生粉,紅辣椒	茶,鹽,水,醬油
山藥燉排骨	薑,山藥,排骨,雞骨高湯,紅蘿蔔	米酒,鹽
當歸鴨	鴨肉,當歸,米酒,枸杞,水,薑,淮山,紅棗,川芎	雞粉,鹽
麻油炒腰花	黑麻油,薑	米酒,鹽,雞粉
砂鍋魚頭	豆腐,魚頭,金針,大白菜,香菇,辣椒,蔥,寬粉條,大蒜	高湯,蠔油,米酒,香油,糖,胡椒,醬油
香滷棒棒腿	香油,冰糖,五香粉,洋蔥,甘草,薑,甘甜醬油,青蔥,水,丁香,八角,棒棒腿
新竹炒米粉	紅蘿蔔,豆芽,青蔥,米粉,三層肉,辣椒,大蒜	水,鹽,胡椒,蔥
蒜味滷汁	肉桂,洋蔥,小茴香,滷汁,甘甜醬油,八角,水,丁香,辣椒,大蒜
蘿蔔葉炒年糕	寧波年糕片,蒜,蘿蔔	雞粉,鹽,胡椒
青木瓜鳳爪湯	鳳爪,水,薑,青木瓜	米酒,鹽
滷筍絲	福菜,桂竹筍,五香滷汁
獅子頭	蔥,大白菜,荸薺,青蔥,蒜,薑	鹽,太白粉,醬油,米酒,香油,雞粉,水,糖,鹽,胡椒,醬油
榨菜肉醬	薑,青蔥,大蒜,梅花肉,白菜	香油,水,糖,鹽,胡椒,白醋
櫻花蝦米糕	櫻花蝦,芋頭,長糯米,油蔥酥,香菇,香菜,豬肉	米酒,雞粉,糖,胡椒,鹽,醬油
宮保蘿蔔皮	蔥,辣椒,花椒,白蘿蔔	雞粉,醬油,糖
辣油汁	花椒,辣椒,沙拉油,味精,鹽
客家小炒	豬五花肉,豆乾,蝦米,蒜,紅辣椒,蔥,薑,魷魚	米酒,醬油,鹽,胡椒,糖
清高湯	洋蔥,西芹,豬尾冬骨,白蘿蔔,大蒜,玉米	米酒,香油,雞粉,水,鹽,胡椒
糖醋里肌	里肌肉,洋蔥,青椒	太白粉,太白粉,醋,香油,蛋液,酒,鹽
韭菜花炒皮蛋	辣椒,蛋,韭菜,大蒜	香油,鹽,胡椒,黑豆
滷獅子頭	青蔥,馬蹄,大蒜,豬,大白菜	香油,太白粉,冰糖,五香粉,甘甜醬油,醬油膏,水,鹽,胡椒,蛋白
鳳梨炒木須	辣椒,黑木耳,薑,太白粉,鳳梨,橄欖油	鹽,白醋,糖
滷麻辣鴨血	鴨血,麻辣滷汁
滷香菇	青蔥,蘑菇,滷汁,香菇,洋蔥
辣梅醬	香油,紫蘇梅,糖,蒜,辣椒
湖南老虎醬	青蔥,大蒜,豬,辣椒	香油,雞粉,花生油,糖,酒,豆豉,鹽,胡椒,白醋
酸辣炒三絲	筍,黑木耳,黃豆芽,辣椒,紅蘿蔔,蒜	白醋,細砂糖,烏醋,雞粉,油,鹽
九層塔炒蛋	蛋,九層塔	香油,鹽,胡椒
四寶湯	金針菇,白蘿蔔,薑,豬肚,排骨,草菇	米酒,胡椒,鹽,雞粉
麻婆肉醬	青蔥,大蒜,豬,辣椒	米酒,太白粉,五香粉,水,糖,醬油膏,鹽,胡椒,醬油
高麗菜燉肉	高麗菜,辣椒,五花肉,蒜仁	米酒,醬油,水,糖
素蠔油麵筋	青豆,香菇,香油,筍,水,麵筋	鹽,胡椒,蠔油,糖
水晶肉凍	沙拉筍,胡椒,豬皮,洋菜,豬肉,水,薑,蒜仁,蔥	米酒,冰糖,蠔油,醬油
繽紛素飯	蔓越莓,白米,毛豆,葡萄,地瓜,水,蘋果	味霖,鹽
滷白菜	白菜,薑,扁魚,雞蛋	雞粉,鹽,糖
藥膳燉鰻魚	黨蔘,黃耆,薑,海苔,枸杞,豆包,麵糊,當歸,紅棗,川芎,腐皮,水	米酒,鹽
素蝦鬆	荸薺,沙拉筍,西芹,香菇,橄欖油,紅蘿蔔,松子,薑	香菇,鹽,胡椒,糖
蒜尾炒肉片	蒜,紅蘿蔔,豬肉,黑木耳,蒜	蠔油,鹽,糖	米酒,太白粉,醬油
紅蔥玉米蛋炒飯	玉米,洋蔥,蛋,青蔥,辣椒,白飯,大蒜,火腿	鹽,胡椒,蔥
福菜肉片湯	雞骨高湯,客家福菜,紅蘿蔔,五花肉,香菇,薑	香油,雞粉,鹽,胡椒
黃金油雞	辣椒,土雞,水,薑,蔥,沙拉油,蔥	米酒,鹽
滷土豆	滷汁,紅蘿蔔,花生,薑,青蔥,小黃瓜
紅燒羊骨湯	羊大骨,花椒,桂皮,草果,陳皮,薑,丁香,水	雞粉,辣豆瓣醬,冰糖,鹽,醬油
滷豬肝	米酒,豬肝,水,糖,醬油
蒜泥白肉	薑,青蔥,五花肉,大蒜	香油,醬油膏,糖
魚香肉醬	薑,辣椒,大蒜,豬,青蔥	蕃茄醬,米酒,香油,糖,鹽,胡椒
八寶肉醬	豬,紅蘿蔔,毛豆,竹筍,豆干,青蔥,辣椒,大蒜	五香粉,香油,糖,米酒,鹽,胡椒,醬油
三杯杏鮑菇	薑,辣椒,麻油,杏鮑菇,九層塔	米酒,醬油,蠔油,糖
塔香海瓜子	海瓜子,辣椒,大蒜,九層塔	香油,白砂糖,醬油膏,鹽
東坡肉	青江菜,青蔥,紅辣椒,三層肉,大蒜	香油,細砂糖,醬油膏,甘甜醬油,水
紫米麻油雞肉飯	薑,雞腿,香菇,紫米,水,大蒜	香油,鹽,麻油,胡椒,雞粉
泡菜紫米牛肉飯	牛肉,紫糯米,水,泡菜,香菜	香油,鹽,胡椒,米酒
蒟蒻炒彩椒	紅椒,蒟蒻,黃椒	鹽,醬油,七味粉,糖
蒜頭蒸雞	大蒜,雞腿	米酒,鹽,胡椒
台式滷肉	蔥,八角,大蒜,紅辣椒,五花肉	米酒,醬油膏,冰糖,醬油
魚片翡翠煲	紅椒,南瓜,青江菜,鯛魚,薑	米酒,水,糖,鹽,胡椒	胡椒,太白粉,醬油
花生滷豬尾	豬尾,八角,花生	米酒,醬油,鹽,水,糖
鮮蔬雜糧炊飯	五穀米,紅蘿蔔,玉米,蘆筍,芹菜,竹筍,蓮藕,水	味霖,鹽
宮保花枝煲	杏鮑菇,洋蔥,花枝,太白粉,小黃瓜,花生,辣椒,大蒜	香油,水,糖,醬油,醋
紅燒海參	青江菜,米酒,薑,辣椒,薑,海參,蔥	雞粉,米酒,蠔油,糖
酒釀蛋	土雞蛋,酒釀,水	冰糖
臘味煲仔飯	米,青江菜,水
紅蔥餛飩拌麵	紅蘿蔔,豆芽,青蔥,香菜,辣椒,餛飩,大蒜,油麵	水,鹽,胡椒,蔥
泡菜炒魷魚	魷魚,大蒜,泡菜,九層塔	香油,黑胡椒,白砂糖,鹽,雞粉
鮑菇炊飯	奶油,水,白米	醬油,米酒,醬油,味霖
肉末香茄醬	辣椒,大蒜,豬,茄子,九層塔	太白粉,油,水,醋,鹽,胡椒,醬油
香椿醬燒百頁	薑,百頁豆腐,香椿醬,水,辣椒	醬油膏,鹽,糖
肉燥家常豆腐	辣椒,蔥,蒜,蛋豆腐	高湯,蔥
麻辣耳絲	蒜苗,花椒,蔥,八角,薑,油,水,豬耳朵,鹽
五穀雜糧芋香飯	大蒜,五穀米,水,芋頭	香油,鹽,砂糖,黑胡椒
蠔油臘腸飯	蒜苗,青江菜,白米,香菜,水	香油,鹽,米酒,胡椒,蠔油
銀芽木耳炒肉片	黑木耳,豆芽,雞蛋,五花肉,韭菜,大蒜	醬油,鹽,糖
辣炒炸豆腐	板豆腐,紅蘿蔔,麵粉,辣椒,蔥,玉米筍	醬油,烏醋,高湯,雞粉,鹽,辣椒
蔥香肉絲桂竹筍	辣椒,桂竹筍,蒜	鹽,高湯,蔥
蔥油豬肉醬	紅蔥頭,薑,大蒜,豬五花肉,青蔥	米酒,油蔥酥,香油,雞粉,糖,鹽,胡椒,醬油
滷百頁豆腐	百頁豆腐,滷汁
長年菜雞湯	長年菜,蛤蠣,高湯,薑,紅蘿蔔	雞粉,冰糖,鹽
藥燉排骨	黨蔘,川芎,米酒,桂皮,黃耆,枸杞,水,丁香,紅棗,當歸,排骨	鹽
香椿牛肉滑蛋燴飯	蛋,豆芽,青蔥,芹菜,辣椒,白飯,大蒜,牛肉	太白粉,水,糖,鹽,胡椒,牛
五穀炊飯	五穀米,櫻花蝦,珊瑚草,香菇,水,小魚乾,白米,蒜	鹽
烤鹹豬肉	鹹豬肉,沾醬,大蒜,蒜苗,糖
雞爪凍	蔥,土雞,紅辣椒,薑,水	米酒,醬油
宮爆醬	青蔥,大蒜,雞胸,洋蔥,辣椒	花椒,米酒,香油,油,辣椒,鹽,胡椒
麻油米血	米酒,黑麻油,薑,高湯,米血	雞粉,鹽
五味素蚵仔	九層塔,芹菜,地瓜,香菜,辣椒,薑,草菇	烏醋,蕃茄醬,香油,糖,醬油膏,醬油	米酒,太白粉
針菇煲竹筍	竹筍,紅蘿蔔,芹菜,金針,冬粉,四季豆,香菇	高湯,蠔油,香油,糖,鹽,醬油
山藥排骨湯	山藥,紅棗,排骨	雞粉,鹽
滷蒜味脖子	蒜味滷汁,雞脖子
芋頭香菇雞	薑,洋蔥,紅椒,青花菜,芋頭,棒棒腿,大蒜,香菇	鹽,胡椒,水
鹽水滷鴨	鴨胸,滷汁
西芹螺肉濃湯	西芹,清高湯,青蔥,香菜,大蒜,馬鈴薯	奶油,鹽,胡椒
綠花椰炒甜不辣	綠花椰菜,大蒜,甜不辣	白砂糖,鹽,胡椒,水
肉末高麗菜 	辣椒,高麗菜,大蒜,豬	鹽,胡椒,茶
銀芽炒雞絲	雞,黃椒,蒜,豆芽,紅椒	香油,雞粉,鹽,胡椒
荔玉燉肉塊	荔枝,竹筍,紅蘿蔔,清高湯,五花肉,青蔥	香油,米酒,鹽,胡椒,醬油
和風紅蔥木耳炒鱈魚	鱈魚,太白粉,黑木耳,紅蘿蔔,薑,蔥	米酒,鹽,蔥
滷腐竹	腐竹,滷汁
滷鴨翅	蒜味滷汁,鴨翅
冬瓜皮蛤蜊湯	薑,蛤蠣,水	米酒,鹽,雞粉
豆酥肉末醬	青蔥,大蒜,豬,豆酥	香油,鹽,胡椒,醬油
牛蒡烏骨雞	烏骨雞肉,紅棗,牛蒡,水,薑	米酒,鹽
奶香雞粒炊飯	雞腿,紅蔥頭,水,蘑菇,香米,馬鈴薯,蘆筍	鮮奶,雞粉,薑,鹽,米酒
奶油焗白菜	水,乳酪,麵粉,奶油,火腿,蒜,捲心白菜	胡椒,鹽
栗子紅棗燉肉	梅花肉,紅棗,水,栗子	米酒,醬油,鹽,味霖
滷牛腱	蔥,牛腱,滷汁,薑
薑絲炒大腸	太白粉,辣椒,豬大腸,薑	雞粉,細砂糖,鹽,白醋,米酒
滷花生	豬板油,薑,八角,紅辣椒,花生,大蒜,青蔥,水	米酒,冰糖,醬油
蒜味炒芥藍	辣椒,大蒜,芥藍菜,紅蘿蔔	太白粉,蔥,香油,水,糖,鹽,胡椒
什錦素肉醬	木耳,金針,紅蘿蔔	蠔油,米酒,香油,糖,鹽,胡椒
香蔥肉燥烘蛋	荸薺,雞蛋,蔥,香菜	太白粉,鹽,高湯,蔥
冰鎮醉雞	雞腿,黃耆,枸杞,水,當歸,紅棗,川芎	冰糖,米酒,雞粉,米酒,酒,鹽,鹽
紅麴滷雞肉	紅椒,雞胸,黃椒,青蔥,蘑菇,大蒜	蠔油,米酒,砂糖,水,醬油
香煎豆包卷	太白粉,白芝麻,麵糊,黑木耳,香菇,沙拉筍,薑,紅蘿蔔,豆包	胡椒,鹽,糖
大白菜梗炒肉絲	蔥,黃椒,紅椒,蒜,大白菜	雞粉,鹽	米酒,醬油,太白粉,糖
青木瓜燉雞	青木瓜,薑,雞腿	米酒,鹽,水,雞粉
蒜苗辣炒干丁	蒜苗,蒜,黑豆干,辣椒	細砂糖,烏醋,米酒,鹽,醬油
鮑菇鮑彩椒	洋蔥,大白菜,紅椒,木耳,青花菜,黃椒,杏鮑菇,大蒜	醬油,鹽,高湯,糖
三杯杏鮑菇	薑,蒜,杏鮑菇,紅辣椒,九層塔	米酒,麻油,水
家鄉滷汁	薑,花椒,冰糖,草果,洋蔥,青蔥,米酒,茶,辣豆瓣醬,甘草,雞粉,八角,陳皮,丁香,大蒜,老抽,甘蔗,甘醇醬油,水
芹菜炒鴨腸	辣椒,鴨腸,芹菜,大蒜	辣豆瓣醬,白砂糖,香油,雞粉,鹽,胡椒
鮮果炊飯	巨峰葡萄,水,白米,蘋果	細砂糖,鹽
生炒花枝羹	海鮮高湯,洋蔥,花枝,九層塔,青蔥,辣椒,大蒜,蛋白	太白粉,茶,鹽,胡椒,白醋
花生滷豬腳	滷汁,甘甜醬油,青蔥,豬腳,薑,花生,水
地瓜雞肉燉飯	巴西利,白米,洋蔥,雞高湯,地瓜,西芹,雞腿	鹽
清燉羊肉	洋蔥,枸杞,水,當歸,老薑,羊肉	米酒,冰糖,鹽
白菜滷	蝦米,大白菜,木耳,紅蘿蔔,五香滷汁,香菇,青蔥
怪味辣醬	青蔥,大蒜,豬,辣椒	花椒,米酒,芝麻,雞粉,油,糖,醋,鹽,胡椒,芝麻,醬油
滷蒟蒻卷	花枝,菩提滷汁
素小炒	豆乾,蒟蒻,橄欖油,芹菜,辣椒,薑	醬油膏,鹽,胡椒,醬油,糖
蟹黃粉絲煲	大白菜,沙拉筍,紅蘿蔔,冬粉,香菇,香菜	鹽,胡椒,香菇,糖
紅燒獅子頭	太白粉,洋蔥,大白菜,孛薺,水,蔥,蒜	雞粉,冰糖,鹽,醬油	米酒,醬油,鹽,糖
菜脯蛋香飯	白米,雞蛋,水,菜脯,蔥,蒜	鹽,砂糖,胡椒
彩椒炒蝦仁	洋蔥,蝦子,紅椒,黃椒,青蔥,辣椒,大蒜	鹽,胡椒
滷雞胗	滷汁,雞胗
糖醋山藥	太白粉,青椒,紅椒,太白粉,山藥,鳳梨	蕃茄醬,鹽,水,白醋,糖
麥片魚丁飯	鯛魚,白米,麥片,薑,水,辣椒,大蒜	鹽,米酒,香油,胡椒,醬油膏,醬油
海帶滷油豆腐	胡椒,辣椒,海帶,油豆腐,水,薑	米酒,醬油膏,鹽,醬油,糖
蠔油炒高麗菜	辣椒,高麗菜,蠔油,大蒜
蘑菇肉燥鮮蝦	巴西利,洋蔥,小蕃茄,蝦子,蘑菇,蒜	太白粉,糖,高湯,蔥
甘蔗豬腳	大蒜,草果,桂皮,八角,蔥,豬腳,甘蔗	米酒,鹽,醬油	蔥,米酒,大蒜,醬油
栗子燉雞	雞肉,紅棗,水,薑,栗子	米酒,鹽,雞粉
黑豆燉豬尾	豬尾,米酒,水,薑,黑豆	雞粉,鹽
冬瓜滷豬肉	豬肉,紅辣椒,薑	米酒,鹽,冰糖,水,醬油
川味酸辣湯	黑木耳,嫩豆腐,豬血,金針,豬肉,竹筍	烏醋,雞粉,茶,胡椒,鹽	香油,雞骨高湯,太白粉,醬油
芋頭燉排骨	青蒜,排骨,香菇,芋頭	米酒,鹽,胡椒,水,雞粉
滷白菜卷	大白菜,豬,馬蹄,五香滷汁,香菜,干瓢,大蒜	香油,太白粉,鹽,胡椒,五香粉
薑絲蛤蜊飯	蛤蠣,白米,薑,水,奶油,紅米	鹽
洋蔥燒雞翅	蔥,雞翅,洋蔥	醬油,醬油,水,米酒
冬瓜滷肉	豬肉,辣椒,薑,水	米酒,醬油,蠔油,糖
鹽水滷汁	甘草,草果,胡椒,薑,青蔥,水,丁香,大蒜,鹽
鹹年糕	蝦米,豬肉,黑糖,香菇,糯米粉,水,紅蔥末,糖,白飯	鹽,醬油
菜脯蛋酥肉醬	客家菜脯,梅花肉,蛋,香菜,辣椒,大蒜	米酒,雞粉,糖,鹽,胡椒,醬油
味噌白蘿蔔	白蘿蔔,薑,蔥,味噌	米酒,糖,水,味噌
蔥爆五花肉	蔥,五花肉,紅辣椒	米酒,醬油,鹽,糖
腐皮筍香飯	腐皮,五穀米,綠竹筍,白米	蜂蜜,米酒,鹽
滷筍塊	滷汁,烏殼筍,洋蔥
醉雞	黃蓍,雞腿,枸杞,水,當歸,紅棗	酒,米酒,鹽,糖
紅燒雞肉飯	雞腿,白米,紅蘿蔔,薑,水,辣椒,大蒜,馬鈴薯	鹽,番茄醬,香油,砂糖,胡椒,醬油膏
貴妃牛腩	薑,牛肋,紅蔥頭	蕃茄醬,細砂糖,鹽,水,辣椒
蟹肉炒芥菜	蟹肉,芥菜,大蒜,辣椒,紅蘿蔔	太白粉,香油,雞粉,水,鹽,胡椒,牛
芋頭燒雞塊	香菇,雞,芋頭,蒜苗	高湯,米酒,糖,鹽,胡椒,醬油
三杯醬	老薑,辣椒,大蒜,九層塔,棒棒腿	醬油膏,米酒,麻油,水,糖,太白粉
洋蔥炒牛肉	辣椒,牛肉,大蒜,洋蔥	茶,鹽,胡椒	香油,太白粉,鹽,胡椒
排骨酥湯	蔥,白蘿蔔,炸排骨酥,水,蒜仁,香菜	雞粉,鹽,胡椒
荸薺洋菇鑲油豆腐	紅蘿蔔,洋菇,荸薺,油豆腐,橄欖油,薑,馬鈴薯	鹽,胡椒,香菇
紅燒肉醬	豬,洋蔥,九層塔,薑,芹菜,辣椒,大蒜	太白粉,香油,蕃茄醬,海山醬,糖,醬油
蕃茄銀耳燉蔬菜	高麗菜,西芹,紅蘿蔔,小蕃茄,銀耳,水,薑,花椰菜	鹽,冰糖,胡椒,香菇
櫻花蝦炒韭菜	韭菜,水,櫻花蝦,蒜	米酒,鹽,胡椒,雞粉
東坡肉	香油,大蒜,青江菜,甘甜醬油,青蔥,細砂糖,水,三層肉,辣椒,醬油膏
傳統肉燥	紅蔥酥,蝦米,油蔥酥,豆腐	米酒,雞粉,砂糖,水,沙拉油,醬油
鹹酥地瓜	紅地瓜,九層塔,薑,玉米粉,黃地瓜,辣椒	鹽,胡椒
清燉牛肉湯	薑,洋蔥,紅蘿蔔,調味料,香油,青蔥,清高湯,牛腩,鹽,胡椒,醬油
油豆腐燒肉	蔥,辣椒,大蒜,油豆腐,五花肉	冰糖,高湯,米酒,八角,糖,鹽,醬油
蔥油雞	雞肉,紅辣椒,蔥	雞粉,鹽,高湯
當歸黃耆虱目魚湯	當歸,米酒,黃耆,虱目魚,枸杞,水,薑	鹽
中華涼麵	辣椒,涼麵,烏醋,水,火腿,蛋,蒜,小黃瓜,芝麻,胡蘿蔔,糖,鹽
空心菜炒雞心	空心菜,大蒜,雞心	香油,雞粉,鹽,胡椒
貢丸炒小黃瓜	大蒜,紅辣椒,小貢丸,小黃瓜	鹽,水
京醬牛肉醬	辣椒,牛肉,大蒜,蘑菇	米酒,甜麵醬,香油,雞粉,鹽,胡椒
滷麻辣臭豆腐	臭豆腐,麻辣滷汁
椰香芋頭煲	椰奶,香菇,芋頭,芹菜,水,奶油	香菇,胡椒,鹽,糖
滷五香苦瓜	苦瓜,薑,八角,水,大蒜,青蔥	米酒,醬油,冰糖,胡椒,五香粉
糖醋魚	青椒,洋蔥,紅椒,太白粉,鳳梨,水,鱸魚	蕃茄醬,鹽,白醋,糖
黑胡椒馬鈴薯	巴西利,奶油,薑,馬鈴薯,香菇	黑胡椒,鹽,香菇
枸杞炒川七	薑,麻油,枸杞,川七	米酒,鹽,糖
燒酒蝦	當歸,米酒,黃耆,蔘鬚,枸杞,水,紅棗,川芎,草蝦	鹽
醃辣蘿蔔 	白蘿蔔	油,細砂糖,辣豆瓣醬,白醋
地瓜糖水	黃肉地瓜,老薑,砂糖,鹽
空心菜梗炒肉末	空心菜,辣椒,薑,蒜	米酒,鹽,糖
滷豬心	豬心,二砂糖,米酒,紅辣椒,八角,滷汁,水,蔥,鹽,醬油
魷魚螺肉蒜湯	蒜苗,清高湯,香菜,辣椒,大蒜,魷魚	香油,米酒,鹽,胡椒,糖
蠔油拌蕈菇	蠔油,柳松菇,杏鮑菇,香菇
蔬菜煎餅	洋蔥,蛋,水,地瓜,高麗菜,紅蘿蔔,蔥,中筋麵粉,香菇	雞粉,鹽,胡椒,糖
糖醋藕片	紅椒,辣椒,蓮藕,黃椒	細砂糖,鹽,水,白醋
紅糟肉醬	辣椒,大蒜,樹薯,青蔥,三層肉	香油,雞粉,糖,鹽,胡椒,紅糟醬
蔥燒排骨	薑,細砂糖,青蔥,甘草,甘甜醬油,雞粉,水,丁香,辣椒,大蒜,豬肋排,八角
番茄炒蛋	番茄醬,太白粉,砂糖,雞蛋,水,番茄,蔥
芹菜炒花枝	辣椒,花枝,大蒜,芹菜	香油,黃豆,鹽,胡椒
酸菜魚片湯	薑,鯛魚,花椒,筍,水,酸菜,蔥,辣椒	米酒,胡椒,鹽,白醋,雞粉
枸杞蛤蜊蒸蛋	枸杞,雞蛋,蛤蠣,水,蔥	米酒,鹽,胡椒,雞粉
鳳梨炒木耳	鳳梨,豬肉,黑木耳,薑,辣椒	醋,細砂糖,鹽
豆豉小捲飯	豌豆,蒜苗,白米,紅蘿蔔,香菜,豆豉,水,大蒜	鹽,米酒,香油,砂糖,胡椒,醬油膏
醬滷肉丸子	紅辣椒,青江菜,蒜,蔥,薑,梅子	醬油,太白粉,米酒,水,糖,鹽,醬油
紅燒五花肉	青蔥,老薑,八角,五花肉,水,紅辣椒	酒,冰糖,五香粉,醬油
雪裡紅炒肉末	辣椒,雪裡紅,大蒜,豬	雞粉,醬油膏,胡椒,水
鮭魚炊飯	白芝麻,鮭魚,白米,水	柴魚素,鹽
三杯雞	紅辣椒,薑,大蒜,九層塔,雞肉	米酒,醬油,糖
炸醬香腸炒飯	青江菜,紅蘿蔔,青蔥,香腸,芹菜,白飯,大蒜	鹽,胡椒,茶
芝麻蔬菜肉醬	豬,紅蘿蔔,玉米,四季豆,辣椒,大蒜	香油,芝麻,鹽,胡椒,白芝麻
鮮蚵煲花椰	紅蘿蔔,紅椒,香菇,綠花椰菜,薑,蔥,鮮蚵	米酒,醬油膏,胡椒,糖
白菜滷雞卷 	蝦米,高湯,白菜,香菇,蔥,雞	雞粉,胡椒,鹽,糖
茄子煲	紅辣椒,九層塔,蒜,薑,茄子	醬油,辣豆瓣醬,太白粉,蠔油,米酒,糖,醬油
